RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,SEED,POSTSEASON
123,Duquesne,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,A10,32,13,106.4,102.7,0.6006,50,50.2,18.3,20,32.9,30.7,N/A,
124,Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,N/A,
125,Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,N/A,
126,Nebraska Omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,15,
127,Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,N/A,
128,Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,N/A,
129,South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,N/A,
130,Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,N/A,
131,Illinois St.,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,MVC,33,19,112.1,108.8,0.5829,56,53.8,15.8,16.7,24.6,24.9,N/A,
132,Jacksonville St.,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,CUSA,34,22,108,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,N/A,
